Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap
2,25,23,0.92,0.4232,1.84,1,0.353364,0.384091
6,127,115,0.905512,0.409976,1.81102,6,0.474561,0.524081
91,1834,1384,0.754635,0.284737,1.50927,225,0.757599,1.00393
83,1736,1442,0.830645,0.344986,1.66129,147,0.546665,0.658121
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407
114,4224,3888,0.920455,0.423618,1.84091,168,0.406441,0.441565
812,38065,20843,0.547563,0.149913,1.09513,8611,2.31516,4.22811
2,15,13,0.866667,0.375556,1.73333,1,0.415241,0.479124
45,1281,1187,0.92662,0.429312,1.85324,47,0.336062,0.362676
56,1542,1430,0.927367,0.430005,1.85473,56,0.31364,0.338205
3,37,31,0.837838,0.350986,1.67568,3,0.632998,0.755514
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407
1151,79040,35892,0.454099,0.103103,0.908198,21574,3.82692,8.4275
3,12,6,0.5,0.125,1.0,3,0.897712,1.79542
2,54,52,0.962963,0.463649,1.92593,1,0.287296,0.298346
94,1775,1321,0.744225,0.276936,1.48845,227,0.743172,0.998584
143,2649,2075,0.783314,0.306791,1.56663,287,0.586284,0.748465
3,24,20,0.833333,0.347222,1.66667,2,0.476892,0.572271
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185
123,2261,1787,0.790358,0.312333,1.58072,237,0.574403,0.726762
1747,141190,55906,0.395963,0.0783933,0.791926,42642,4.73973,11.9701
202,4751,3179,0.669122,0.223862,1.33824,786,1.05826,1.58156
249,6896,5014,0.727088,0.264329,1.45418,941,0.984488,1.35402
2843,151474,69358,0.457887,0.10483,0.915774,41058,2.78781,6.08841
50,813,707,0.869619,0.378118,1.73924,53,0.364183,0.418785
3,51,47,0.921569,0.424644,1.84314,2,0.3885,0.421563
3,126,122,0.968254,0.468758,1.93651,2,0.316886,0.327276
2,64,62,0.96875,0.469238,1.9375,1,0.275799,0.284696
3,97,91,0.938144,0.440057,1.87629,3,0.502203,0.535315
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407
2,53,51,0.962264,0.462976,1.92453,1,0.288618,0.299936
52,1490,1386,0.930201,0.432637,1.8604,52,0.315112,0.338756
1590,87099,47923,0.550213,0.151367,1.10043,19588,2.49382,4.53246
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
52,1511,1405,0.929848,0.432308,1.8597,53,0.320558,0.344742
585,17792,12114,0.680868,0.23179,1.36174,2839,1.14181,1.677
44,1142,1006,0.880911,0.388002,1.76182,68,0.505373,0.573694
2,21,19,0.904762,0.409297,1.80952,1,0.372461,0.411667
703,42332,22248,0.52556,0.138107,1.05112,10042,3.08742,5.87453
1105,71573,36817,0.514398,0.132303,1.0288,17378,3.23944,6.29754
3,14,8,0.571429,0.163265,1.14286,3,0.850274,1.48798
1201,75482,33720,0.446729,0.0997834,0.893458,20881,3.56435,7.97877
61,2172,1598,0.735727,0.270647,1.47145,287,1.4099,1.91633
142,2276,1594,0.700351,0.245246,1.4007,341,0.715266,1.0213
27,665,603,0.906767,0.411113,1.81353,31,0.406644,0.448455
597,20726,13424,0.647689,0.20975,1.29538,3651,1.41678,2.18744
2,30,28,0.933333,0.435556,1.86667,1,0.335264,0.359212
2,28,26,0.928571,0.431122,1.85714,1,0.341904,0.368205
47,1489,1389,0.932841,0.435096,1.86568,50,0.335256,0.359393
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
57,1061,863,0.813384,0.330796,1.62677,99,0.573949,0.705632
2,58,56,0.965517,0.466112,1.93103,1,0.28235,0.292434
53,1009,875,0.867195,0.376014,1.73439,67,0.420778,0.485217
19,294,256,0.870748,0.379101,1.7415,19,0.404887,0.464988
31,442,374,0.846154,0.357988,1.69231,34,0.414439,0.489792
160,3865,2917,0.754722,0.284803,1.50944,474,0.825839,1.09423
252,13719,8867,0.64633,0.208871,1.29266,2426,2.32685,3.60009
613,30220,15982,0.528855,0.139844,1.05771,7119,2.59209,4.90133
731,32637,21209,0.649845,0.211149,1.29969,5714,1.73176,2.66488
91,1540,1242,0.806494,0.325216,1.61299,149,0.513634,0.636873
52,1090,836,0.766972,0.294123,1.53394,127,0.803966,1.04823
132,2596,1930,0.743451,0.27636,1.4869,333,0.738834,0.993789
60,858,732,0.853147,0.36393,1.70629,63,0.357874,0.419475
3,104,100,0.961538,0.462278,1.92308,2,0.329839,0.343032
45,872,766,0.87844,0.385829,1.75688,53,0.400467,0.455884
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627
2,33,31,0.939394,0.44123,1.87879,1,0.326482,0.347545
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
58,1010,844,0.835644,0.34915,1.67129,83,0.476257,0.569929
3,15,11,0.733333,0.268889,1.46667,2,0.553655,0.754984
51,1076,908,0.843866,0.356055,1.68773,84,0.543187,0.643688
248,7201,5513,0.765588,0.293063,1.53118,844,0.882247,1.15238
3,25,21,0.84,0.3528,1.68,2,0.471151,0.560895
48,1076,946,0.879182,0.386481,1.75836,65,0.446593,0.507964
386,12218,6894,0.564249,0.159189,1.1285,2662,1.68738,2.99048
